Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,No. Changed Names,No. Changed Tokens,Replaced Names,Attack Type,Query Times,Time Cost
24," 
  
  
  def next_range(stream):
      line = stream.readline()
      if not line:
          return None
      return [int(x) for x in line.split()]
  
  
  def is_palindrome(n):
      n = str(n)
      return all(n[i] == n[len(n)-1-i] for i in range(len(n) // 2))
  
  def mysqrt(n):
      """"""Return -1 if not an integer""""""
      rt = int(sqrt(n))
      return rt if rt * rt == n else -1
  
  
  def is_fas(n):
      rt = mysqrt(n)
      return rt != -1 and is_palindrome(n) and is_palindrome(rt)
  
  
  def main():
      with open('C-small-attempt0.in', encoding='utf-8') as f:
          f.readline()
  
          for case in count(1):
              r = next_range(f)
              if r is None:
                  break
  
              cnt = 0
              for n in range(r[0], r[1] + 1):
                  if is_fas(n):
                      cnt += 1
  
              print('Case #{}: {}'.format(case, cnt))
  
  
  main()
",217,,12,12,12,-1,"stream,line,x,n,i,rt,case,r,cnt",,0,0,,GA,1711,0.864469313621521
25," 
  
  def best(total):
      """"""Return the best possible score for the given `total`.  Assume
      the total is computed by summing exactly three scores (each in the
      interval of 0 to 10 inclusive) and no score can be 2 points apart
      
      Arguments:
      - `total`:
      """"""
      m = total % 3
      if m == 2:
          b = total // 3 + 2
      else:
          b = total // 3 + 1
      if b > 10:
          b = 10
      return b
  
  def best_non_surprising(total):
      """"""Return the best possible score for the given `total`, but
      assume that there should be no more than 1 point difference
      between the scores.
  
      Arguments:
      - `total`:
      """"""
      if total % 3 == 0:
          return total // 3
      else:
          return total // 3 + 1
  
  def max_num_gte_p(totals, S, p):
      """"""Return the maximum number of Googlers that could have had a
      best result of at least p.
      
      Arguments:
      - `totals`:
      - `S`: number of surprising triplets of scores
      - `p`:
      """"""
      res = 0
      for total in totals:
          if total == 0:
              if p == 0:
                  res += 1
              continue
  
          if best_non_surprising(total) >= p:
              res += 1
          elif S > 0 and best(total) >= p:
              res += 1
              S -= 1
  
      return res
  
  def main():
      with open(sys.argv[1], 'r') as f:
          f.readline()            # skip T
  
          n = 0
          for line in f:
              n += 1
  
              line = [int(s) for s in line.split()]
              N = line[0]
              S = line[1]
              p = line[2]
              totals = line[3:]
  
              print 'Case #%d: %d' % (n, max_num_gte_p(totals, S, p))
  
  if __name__ == '__main__':
      main()
",230,,12,50,,-4,"total,m,b,totals,S,p,res,n,line,s,N",,,,,Greedy,1,0.002465927600860596
26," 
  def read(f):
      return list( int(v) for v in f.readline().split() )
  
  def answer(f, X, ans):
      out = ""Case #{}: {}"".format(X, ans)
      f.write(out)
      f.write(""
"")
      print(out)
  
  def testcases(f):
      T = int(f.readline())
      for X in range(1, T + 1):
          A, B = read(f)
          yield X, A, B
  
  def ispalindrome(v):
      s = str(v)
      for i in range(len(s) // 2):
          if s[i] != s[-i-1]:
              return False
      return True
  
  def main(inf, outf):
      MAX = 1000
      fslst = []
      for i in itertools.count():
          if ispalindrome(i):
              squere = i * i
              print(MAX, squere, ispalindrome(squere))
              if squere > MAX:
                  break
              if ispalindrome(squere):
                  fslst.append(squere)
      for X, A, B in testcases(inf):
          cnt = 0
          for fs in fslst:
              if A <= fs <= B:
                  cnt += 1
          answer(outf, X, cnt)
  
  if __name__==""__main__"":
      infname = sys.argv[1]
      outfname = os.path.splitext(infname)[0] + "".out""
      with open(infname, ""r"") as inf:
          with open(outfname, ""w"") as outf:
              main(inf, outf)
",303," 
  def read(fore):
      return list( int(v) vdor v ivd fore.readline().split() )
  
  def answer(fore, OX, Na):
      IN = ""Case #{}: {}"".format(OX, Na)
      fore.write(IN)
      fore.write(""
"")
      print(IN)
  
  def testcases(fore):
      T =TSint(fore.readline())
      for OX in range(1, TS + 1):
          A, Case = bread(fore)
          yield OX, Case,  b
  
  def ispalindrome(vd):
      sl= str(vd)
      for i in range(len(l) // 2):
          if l[i] != l[-i-1]:
              return False
      return True
  
  def main(init, OUTf):
      Size = 1000
      sfslst = []
      for i in itertools.count():
          if ispalindrome(i):
               squeb = i * i
              print(Size,  squeb, ispalindrome( squeb))
              if s squeb> Size:
                  break
              if ispalindrome( squeb):
                  sfslst.append( squeb)
      for OX, Case,  b in testcases(init):
          Cnn = 0
          for ffsin sfslst:
              if Case <= ffs<=  b:
                  Cnn += 1
          answer(oOUTf OX, Cnn)
  
  if __name__==""__main__"":
      infname = sys.argv[1]
      outFName = os.path.splitext(infname)[0] + "".out""
      with open(iinfname ""r"") as init:
          with open(outFName, ""w"") as OUTf:
              main(init, OUTf)
",13,13,14,1,"f,v,X,ans,out,T,A,B,s,i,inf,outf,MAX,fslst,squere,cnt,fs,infname,outfname",,3,12,"f:fore,v:vd,X:OX,ans:Na,out:IN,T:TS,A:Case,B: b,s:l,i:i,inf:init,outf:OUTf,MAX:Size,fslst:sfslst,squere: squeb,cnt:Cnn,fs:fs,infname:infname,outfname:outFName,",GA,1177,1.2689076026280721
27," 
  def testcases():
      with open(sys.argv[1], ""r"") as f:
          f.readline()  # skip number of testcases
          for X, T in enumerate(f, 1):
              yield X, [int(t) for t in T.split()]
  
  def main():
      for X, T in testcases():
          N = T[0]   # the number of Googlers
          S = T[1]   # the number of surprising triplets of scores
          p = T[2]   # best result of at least
  
          y = 0
  
          for t in T[3:]:
              d, m = divmod(t, 3)
              if m == 0:
                  if p <= d:
                      y += 1
                  elif 0 <= d - 1 <= p <= d + 1 <= 10 and S:
                      y += 1
                      S -= 1
              elif m == 1:
                  if p <= d + 1:
                      y += 1
              else:
                  if p <= d + 1:
                      y += 1
                  elif p <= d + 2 and S:
                      y += 1
                      S -= 1
  
          print(""Case #{:d}: {:d}"".format(X, y))
  
  if __name__==""__main__"":
      main()
",205,,13,13,13,-1,"X,T,t,N,S,p,y,d,m",,0,0,,GA,1618,0.8565140048662822
28," 
  def pal(s):
      for i in xrange(len(s)/2):
          if s[i] != s[-i-1]:
              return False
      return True
  
  def pal2(x, s):
      return pal(s) and pal(str(x*x))
  
  def E(k):
      return 10**k
  
  
  def CREATE_DATABASE(MAX):
      def init():
          yield 1
          yield 2
          yield 3
          yield 11
          yield 22
          for i in xrange(1, MAX):
              yield 1*E(2*i) + 1
              yield 1*E(2*i+1) + 1
              yield 2*E(2*i) + 2
              yield 2*E(2*i) + 2 + 1*E(i)
              yield 2*E(2*i+1) + 2
              
              
      heap = list(sorted(set(init())))
      for i in heap:
          print i
      heapq.heapify(heap)
      RES = []
      try:
          MAX_X = E(MAX)
          print ""MAX_X"", MAX_X
          while True:
              x = heapq.heappop(heap)
              RES.append(x)
              if x == 3:
                  continue
              if x > MAX_X:
                  break
              s = str(x)
              j = len(s) / 2
              shift = 1 if len(s) == 2*j else 0
              for i in xrange(j+1, MAX):
                  n = E(2*i-shift) + 1 + E(i-j) * x
                  if pal2(n,str(n)):
                      heapq.heappush(heap, n)
                  
      except KeyboardInterrupt:
          print ""stopped while x is"", x
      with open(""c.database"", 'w') as f:
          for i in sorted(RES + heap):
              f.write(""%i
""%i)
  
  def READ_DATABASE():
      with open(""c.database"", 'r') as f:
          return sorted(map(lambda x: int(x.strip())**2, f))
  DB = READ_DATABASE()
  
  def CASE(IN):
      def rstr(): return IN.readline().strip()
      def rint(): return int(rstr())
      def rints(): return map(int, rstr().split())
      def nrints(N): return [rints() for i in xrange(N)]
      A, B = rints()
      i = bisect_left(DB, A) 
      j = bisect_right(DB, B)
      return j-i
  
  def RUN(IN, OUT):
      t = int(IN.readline().strip())
      for i in xrange(1,t+1):
          OUT.write(""Case #%i: %s
"" % (i, CASE(IN)))
  
  if __name__ == ""__main__"":
      RUN(sys.stdin, sys.stdout)
",564,,14,33,,-4,"s,i,x,k,MAX,heap,RES,MAX_X,j,shift,n,DB,IN",,,,,Greedy,1,0.0027020096778869627
29," 
  
  
  D1 = {} # no suprize
  D2 = {} # surprize
  for i in xrange(0, 31):
      D1[i] = D2[i] = -1
  
  def precompute():
      for a in xrange(0, 11):
          for b in xrange(a, min(a+3,11)):
              for c in xrange(b, min(a+3,11)):
                  t = a+b+c
                  assert a <= b <= c <= a+2 and c <= 11
                  if c < a+2:
                      D1[t] = max(D1[t], c)
                  else: # that is, c == a+2, we have a suprize
                      D2[t] = max(D2[t], c)
  
  
  precompute()
  
  def case(S, P, ts):
      res_n = 0
      res_s = 0
      for t in ts:
          if D1[t] >= P:
              res_n+=1
          elif D2[t]>=P:
              res_s+=1
      return (res_n + min(res_s, S))
  
  
  def solve(fin, fout):
      T = int(fin.readline())
      for t in xrange(T):
          nums = map(int, fin.readline().strip().split("" ""))
          N, S, P = nums[:3]
          ts = nums[3:]
          assert len(ts) == N    
          fout.write(""Case #%i: %i
"" % (t+1, case(S,P,ts)) )
      return True
  
  if __name__ == ""__main__"":
      with open(sys.argv[1],'r') as fin:
          with open(sys.argv[2], 'w') as fout:
              solve(fin, fout)
",332,,14,54,,-4,"D1,D2,i,a,b,c,t,S,P,ts,res_n,res_s,fin,fout,T,nums,N",,,,,Greedy,1,0.0024867574373881023
30," f   = file(sys.argv[1])
  out = file(sys.argv[2], 'w')
  
  caseCnt = int(f.readline())
  
  Num = [
  	0,
  	1,
  	4,
  	9,
  	121,
  	484,
  	10201,
  	12321,
  	14641,
  	40804,
  	44944,
  	1002001,
  	1234321,
  	4008004,
  	100020001,
  	102030201,
  	104060401,
  	121242121,
  	123454321,
  	125686521,
  	400080004,
  	404090404,
  	10000200001,
  	10221412201,
  	12102420121,
  	12345654321,
  	40000800004,
  	1000002000001,
  	1002003002001,
  	1004006004001,
  	1020304030201,
  	1022325232201,
  	1024348434201,
  	1210024200121,
  	1212225222121,
  	1214428244121,
  	1232346432321,
  	1234567654321,
  	4000008000004,
  	4004009004004,
  ]
  
  for case in range(1, caseCnt+1):
  	L, H = f.readline().split()
  	L = int(L); H = int(H)
  	assert L <= H
  	
  	for i in range(len(Num)):
  		if L <= Num[i]:
  			break
  	else:
  		print>>out, 'Case #%d:'%case, 0
  		continue
  
  	lb = i - 1
  
  	for i in range(1, len(Num)+1):
  		if H >= Num[len(Num)-i]:
  			break
  	else:
  		print>>out, 'Case #%d:'%case, 0
  		continue
  	ub = len(Num)-i
  		
  	print>>out, 'Case #%d:'%case, ub - lb
  
  out.close()
",262,,15,15,15,-1,"f,out,caseCnt,Num,case,L,H,i,lb,ub",,0,0,,GA,1912,0.9737269361813863
31," 
  f = file(""B-small-attempt0.in"")
  w = file(""answer.txt"", ""w"")
  cnt = int(f.readline()[:-1])
  for no in range(cnt):
  	l = f.readline()[:-1].split()
  	T, s, p = map(int, l[:3])
  	ts = map(int, l[3:])
  	ns = p*3-2 if p*3-2 > 0 else 0
  	ss = p*3-4 if p*3-4 > 0 else 31
  	l = filter(lambda x: x<ns, ts)
  	c = min([len(filter(lambda x: x>=ss, l)), s])
  	
  	print>>w, ""Case #%d:""%(no+1), T-len(l)+c
  
  
",171,,15,15,15,-1,"f,w,cnt,no,l,T,s,p,ts,ns,ss,c",,0,0,,GA,2310,1.1310960412025453
32,"def check(a,b):
      c = 0
      n = 1
      for i in range(1,4):
          if i**2 >= a and i**2 <=b:
              c += 1
      if 44944 >= a and 44944 <= b:
          c += 1
      while n < 10:
          p1 = int('1'+'1'*n)**2
          if p1 >= a and p1 <=b:
              c += 1
          n += 1
  
  
      if 484 >= a and 484 <= b:
          c += 1
  
      n = 1
      while True:
          p2 = int('1'+'0'*n+'1')**2
          p3 = int('2'+'0'*n+'2')**2
          if p2 >= a and p2 <= b:
              c += 1
          else:
              break
          if p3 >= a and p3 <= b:
              c += 1
          else:
              continue
          n += 1
  
      n = 1
      while True:
          t = False
          for m in range(2,5):
              p4 = int('1'*m+'0'*n+'1'*m)**2
              if p4 >= a and p4 <= b:
                  c += 1
              else:
                  t = True
                  break
          if t:
              break
              
          n += 1
      return c
                  
  dat = raw_input().split()
  n = int(dat.pop(0))
  data = [int(e) for e in dat]
  
  for i in range(0, n*2, 2):
      a, b = data[i], data[i+1]
      print 'Case #%i: '%(i/2+1) + str(check(a,b)) 
  
      
",308,,16,39,,-4,"a,b,c,n,i,p1,p2,p3,t,m,p4,dat,data,e",,,,,Greedy,1,0.002667586008707682
33,"f = open('cj2.in','r')
  out = open('out1.txt','w')
  inp = [[int(n) for n in s.split()] for s in f.readlines()]
  
  def score_partition(score):
      poss = []
      if score == 0:
          return [[0,0,0]]
      if score == 1:
          return [[0,0,1]]
      if score % 3 == 0:
          poss.append([score/3,score/3,score/3])
          poss.append([score/3-1,score/3,score/3+1])
      if score % 3 == 1:
          poss.append([score/3, score/3,score/3+1])
          poss.append([score/3-1,score/3+1,score/3+1])
      if score % 3 == 2:
          poss.append([score/3,score/3+1,score/3+1])
          poss.append([score/3,score/3,score/3+2])
  
      return poss
  
  
  s = 0
  c = 1
  for e in inp[1:len(inp)]:
      count = 0
      surprises = e[1]
      s = 0
      p = e[2]
      for i in e[3:len(e)]:
          scores = score_partition(i)
          for j in scores: 
              if max(j) >= p:
                  if max(j)-min(j) == 2:
                      if s < surprises:
                          s +=1
                          count +=1
                          break
                  else:
                      count += 1
                      break
                  
      out.write('Case #'+str(c)+': '+str(count)+'
')
      c += 1
  
  out.close()
  f.close()
                  
          
      
      
  
      
",364,,16,16,16,-1,"f,out,inp,n,s,score,poss,c,e,count,surprises,p,i,scores,j",,0,0,,GA,2964,1.479317553838094
34," def ispal(num):
      num = str(num)
      if num == num[::-1]:
          return True
      else:
          return False
  
  def test(bot, top):
      count = []
      for i in range(bot,top+1):
          if not ((int(i**0.5)**2) == i):
              continue
          if ispal(i) and ispal(int(i**0.5)):
              count.append(i)
      return len(count)
  
  case = 1
  for line in open('C-small-attempt2.in', 'Ur'):
      if ' ' in line:
          a,b = line.split()
          res = test(int(a),int(b))
          print(""Case #{0}: {1}"".format(case, res))
          case += 1
  
  
",153," def ispal(digit):
      digit = str(digit)
      if digit == digit[::-1]:
          return True
      else:
          return False
  
  def test(plot, page):
      col = []
      for int in range(plot,page+1):
          if not ((int(int**0.5)**2) == int):
              continue
          if ispal(int) and ispal(int(int**0.5)):
              col.append(int)
      return len(col)
  
  ASE = 1
  for LINE in open('C-small-attempt2.in', 'Ur'):
      if ' ' in LINE:
          api,u = LINE.split()
          mr = test(int(api),int(u))
          print(""Case #{0}: {1}"".format(ASE, mr))
          ASE += 1
  
  
;num = 0;bot = 0;print(bot);top = 0;print(case);line = 0;page = 0;print(page);Case = 0;print(error);LINE = 0;print(link);print(lines);print(l);print(api);print(u);print(n)",17,17,17,1,"num,bot,top,count,i,case,line,a,b,res","num:-0.08324813842773438,bot:-0.010999917984008789,top:-0.01229250431060791,count:-0.048556625843048096,i:-0.10604900121688843,case:-0.036895155906677246,line:-0.07918316125869751,a:-0.03656184673309326,b:-0.021688878536224365,res:-0.04904651641845703,",10,30,"bot:plot,top:page,b:u,a:api,case:ASE,count:col,res:mr,line:LINE,num:digit,i:int,",Greedy,332,0.5344568411509196
35," data = [[100],[3,1,5,15,13,11],[3,0,8,23,22,21],[2,0,8,26,20],[1,0,3,30],[2,2,5,6,19],[2,0,9,18,2],[3,0,8,0,22,23],[3,2,4,29,17,28],[2,2,10,6,7],[2,1,1,17,0],[1,0,9,2],[2,0,10,27,27],[1,0,10,12],[2,2,6,20,12],[3,1,2,5,24,15],[3,0,8,29,20,20],[1,1,9,13],[1,1,7,11],[2,0,2,2,2],[1,0,5,11],[1,0,4,8],[1,0,4,1],[3,1,3,10,9,3],[2,2,7,15,2],[2,0,1,26,28],[3,0,10,5,27,9],[2,2,5,21,7],[3,0,1,23,11,26],[3,3,2,23,28,22],[2,1,5,11,11],[2,0,4,16,26],[3,0,10,26,30,18],[3,2,5,15,19,11],[1,0,1,4],[3,0,4,2,3,30],[3,1,2,3,0,3],[2,0,3,21,30],[3,1,6,14,16,14],[1,0,7,17],[3,3,3,22,18,22],[2,1,7,17,17],[2,0,1,19,14],[1,0,1,0],[3,0,4,8,3,25],[2,0,3,5,30],[2,0,6,14,15],[1,0,10,22],[1,0,7,18],[1,0,3,5],[3,3,8,26,17,4],[3,3,0,3,9,21],[3,2,1,14,12,0],[2,0,7,29,18],[2,0,3,6,8],[1,1,8,3],[3,1,9,17,12,14],[2,0,3,22,6],[2,0,8,29,9],[3,3,9,16,26,13],[1,1,0,12],[2,1,7,27,14],[2,0,6,22,19],[1,0,0,0],[2,1,5,18,22],[3,1,9,28,24,23],[3,0,1,4,15,29],[1,0,3,20],[3,0,1,30,21,30],[2,0,9,19,7],[1,0,9,10],[1,0,0,1],[2,1,3,6,6],[3,1,0,11,28,27],[2,0,4,25,8],[1,0,6,15],[3,3,9,12,23,26],[2,1,5,12,12],[3,1,9,28,3,28],[3,1,6,20,14,15],[1,0,10,30],[1,1,9,9],[2,0,9,3,10],[2,0,10,26,26],[2,1,9,23,23],[3,0,2,6,3,22],[1,1,0,27],[3,0,9,23,23,24],[1,1,7,2],[2,1,0,10,3],[1,0,4,1],[1,0,7,12],[3,0,9,23,15,8],[1,0,10,27],[3,0,0,30,30,30],[3,0,3,19,2,14],[3,1,3,6,21,5],[3,0,3,11,16,11],[1,1,8,3],[2,0,10,26,19],[1,0,7,18]]
  count = 0
  for line in data[1:]:
  	count += 1
  	supps = line[1]
  	score = line[2]
  	maxes = 0
  	nonsuptot = (score*3)-2
  	suptot = (score*3)-4
  	if suptot < 0:
  		suptot = 1
  	for i in range(3,(len(line))):
  		if line[i] >= nonsuptot:
  			maxes += 1
  			continue
  		if (line[i] >= suptot) and (supps > 0):
  			maxes += 1
  			supps -= 1
  	if score == 0:
  		maxes = line[0]
  	print (""Case #""+str(count)+"":"", maxes)
  		
  			
  
  
  
  
",1348,,17,51,,-4,data,,,,,Greedy,1,0.0028392950693766276
36," 
  
  def is_palindrome(a):
      return str(a) == ''.join(reversed(str(a)))
  
  
  def solve_problem(min_num, max_num):
      count = 0
      for i in xrange(min_num, max_num + 1):
          if is_palindrome(i):
              sqrt = math.sqrt(i)
              if int(sqrt) == sqrt and is_palindrome(int(sqrt)):
                  count += 1
      return count
  
  
  if __name__ == '__main__':
      num_of_cases = int(sys.stdin.readline())
      for i in xrange(1, num_of_cases + 1):
          min_num, max_num = map(int, sys.stdin.readline().strip().split(' '))
          print 'Case #{0}: {1}'.format(i, solve_problem(min_num, max_num))
",150," 
  
  def is_palindrome(a):
      return str(a) == ''.join(reversed(str(a)))
  
  
  def solve_problem(min_num, max_num):
      count = 0
      for i in xrange(min_num, max_num + 1):
          if is_palindrome(i):
              sqrt = math.sqrt(i)
              if int(sqrt) == sqrt and is_palindrome(int(sqrt)):
                  count += 1
      return count
  
  
  if __name__ == '__main__':
      num_ofxcase = int(sys.stdin.readline())
      for i in xrange(1, num_ofxcase + 1):
          min_num, max_num = map(int, sys.stdin.readline().strip().split(' '))
          print 'Case #{0}: {1}'.format(i, solve_problem(min_num, max_num))
",18,18,1,1,"a,min_num,max_num,count,i,sqrt,num_of_cases","a:0.05042126774787903,min_num:-0.0015465915203094482,max_num:-0.0009816288948059082,count:0.049783170223236084,i:0.0276203453540802,sqrt:0.03646394610404968,num_of_cases:0.23589390516281128,",1,2,"num_of_cases:num_ofxcase,",Greedy,38,0.012238057454427083
37,"""""""
  Google Code Jam 2012 Problem B
  Usage:
      python problem_b.py < input.txt > output.txt
  """"""
  
  
  def calc_possible(n):
      combinations = itertools.combinations_with_replacement(range(n), 3)  # 3 scores
      return itertools.ifilter(lambda (x, y, z): x + y + z == n, combinations)
  
  
  def calc_surprising(n):
      results = list(itertools.ifilter(lambda scores: max(scores) - min(scores) == 2, calc_possible(n)))
      return results[0] if results else None
  
  
  def calc_normal(n):
      results = list(itertools.ifilter(lambda scores: max(scores) - min(scores) <= 1, calc_possible(n)))
      return results[0] if results else None
  
  
  def solve_problem():
      number_of_cases = int(sys.stdin.readline())
  
      for i in xrange(1, number_of_cases + 1):
  
          case = sys.stdin.readline().strip()
          result = 0
          num_of_googlers, num_of_surprising, desired_score, scores = case.split(' ', 3)
          num_of_googlers = int(num_of_googlers)
          num_of_surprising = int(num_of_surprising)
          desired_score = int(desired_score)
          scores = map(int, scores.split())
  
          possible_scores = []
  
          for k in xrange(num_of_googlers):
  
              normal = calc_normal(scores[k])
              surprising = calc_surprising(scores[k])
  
              possible_scores.append(((normal if normal else (0, 0, 0), 0), (surprising if surprising else (0, 0, 0), 1)))
  
          possible = list(itertools.ifilter(lambda scores: sum(map(lambda x: x[1], scores)) == num_of_surprising, itertools.product(*possible_scores)))
          result = max(map(lambda scores: sum(map(lambda x: int(max(x[0]) >= desired_score), scores)) if scores else 0, possible))
  
          sys.stdout.write('Case #{0}: {1}
'.format(i, result))
  
  
  if __name__ == '__main__':
      solve_problem()
",394,,18,18,18,-1,"n,combinations,results,number_of_cases,i,case,result,num_of_googlers,num_of_surprising,desired_score,scores,possible_scores,k,normal,surprising,possible",,0,0,,GA,3004,1.5652907967567444
38," 
  
  
  def ispalindrome(n):
      return str(n) == str(n)[::-1]
  
  
  def solve(A, B):
      solution = []
      for n in range(int(math.sqrt(A)), int(math.sqrt(B))+1):
          if ispalindrome(n):
              m = n ** 2
              if ispalindrome(m) and A <= m <= B:
                  solution.append(n)
      return len(solution)
  
  
  def main(IN, OUT):
      T = int(IN.readline())
      for index in range(T):
          A, B = map(int, IN.readline().split())
          OUT.write('Case #%d: %s
' % (index + 1, solve(A, B)))
  
  
  def makesample(T=100, ABmax=1000):
      print T
      for index in range(T):
          A = random.randint(1, ABmax)
          B = random.randint(A, ABmax)
          print A, B
  
  
  if __name__ == '__main__':
      if '-makesample' in sys.argv[1:]:
          makesample()
      else:
          main(sys.stdin, sys.stdout)
  
",239,,19,19,19,-1,"n,A,B,solution,m,IN,OUT,T,index,ABmax",,0,0,,GA,1969,0.9740461627642314
39," 
  
  
  
  
  def solve(S, p, tlist):
  	above = 0
  	consider = 0
  
  	for t in tlist:
  		avg = t / 3
  		mod = t % 3
  
  		if mod == 0:
  			if avg >= p:
  				above += 1
  			elif avg + 1 >= p and t > 0:
  				consider += 1
  
  		elif mod == 1:
  			if avg + 1 >= p:
  				above += 1
  
  		elif mod == 2:
  			if avg + 1 >= p:
  				above += 1
  			elif avg + 2 >= p:
  				consider += 1
  
  	return above + min(S, consider)
  
  
  def main(IN, OUT):
  	N = int(IN.readline())
  	for index in range(N):
  		data = map(int, IN.readline().strip().split())
  		(N, S, p), tlist = data[:3], data[3:]
  		OUT.write('Case #%d: %d
' % (index + 1, solve(S, p, tlist)))
  
  
  if __name__ == '__main__':
  	main(sys.stdin, sys.stdout)
  
",212," 
  
  
  
  
  def solve(S, tp,  tList):
  	above = 0
  	consider = 0
  
  	for t in  tList:
  		avg = t / 3
  		mod = t % 3
  
  		if mod == 0:
  			if avg >= tp:
  				above += 1
  			elif avg + 1 >= tp and t > 0:
  				consider += 1
  
  		elif mod == 1:
  			if avg + 1 >= tp:
  				above += 1
  
  		elif mod == 2:
  			if avg + 1 >= tp:
  				above += 1
  			elif avg + 2 >= tp:
  				consider += 1
  
  	return above + min(S, consider)
  
  
  def main(out, Z):
  	Na = int(out.readline())
  	for obj in range(Na):
  		alpha = map(int, out.readline().strip().split())
  		(Na, S, tp),  tList = alpha[:3], alpha[3:]
  		Z.write('Case #%d: %d
' % (obj + 1, solve(S, tp,  tList)))
  
  
  if __name__ == '__main__':
  	main(sys.stdin, sys.stdout)
  
",19,19,11,1,"S,p,tlist,above,consider,t,avg,mod,IN,OUT,N,index,data","S:0.001678764820098877,p:0.006189286708831787,tlist:0.011807024478912354,above:-0.002985239028930664,consider:-0.0021295547485351562,t:-0.0019131302833557129,avg:-0.004453599452972412,mod:-0.003227710723876953,IN:0.0633465051651001,OUT:0.031204938888549805,N:0.0077759623527526855,index:0.002746284008026123,data:0.0030812621116638184,",7,25,"IN:out,OUT:Z,tlist: tList,N:Na,p:tp,data:alpha,index:obj,",Greedy,124,0.03819998900095622
40," 
  N_MAX = 10 ** 7  # for First large dataset
  
  
  def is_palindrome(n):
      s = str(n)
      for i in xrange(len(s) / 2):
          if s[i] != s[-1 - i]:
              return False
      return True
  
  palindromes = [x for x in xrange(N_MAX) if is_palindrome(x)]
  palindrome_squares = [x ** 2 for x in palindromes]
  fair_and_square_palindromes = filter(is_palindrome, palindrome_squares)
  
  
  T = int(raw_input())
  for test_case_id in xrange(1, T + 1):
      A, B = map(int, raw_input().split())
      answer = len([x for x in fair_and_square_palindromes if A <= x <= B])
      print 'Case #{}: {}'.format(test_case_id, answer)
",147," 
  R_HEAD = 10 ** 7  # for First large dataset
  
  
  def is_palindrome(node):
      s =servicesstr(node)
      for i in xripnge(len(services) / 2):
          if services[i] != siprvices[-1 - ip]:
              return False
      return True
  
  ppalindrose= [xtfor xtin xrange(R_HEAD) if is_palindrome(t)]
 palindrome_equarss = tx ** 2 fortx in palindrose]
 fair_and_square_palindramalss = filter(is_palindrome, palindrome_equars)
  
  
  t = int(raw_input())
  for test_sectionblocknum in xrange(1, t + 1):
      D, Ub = map(int, raw_input().split())
      anaddress len([t for t in fair_and_square_palindramals if D <= t <= Ub])
      print 'Case #{}: {}'.format(test_sectionblocknum, address)
",20,20,39,1,"N_MAX,n,s,i,palindromes,x,palindrome_squares,fair_and_square_palindromes,T,test_case_id,A,B,answer",,0,0,"N_MAX:R_HEAD,n:node,s:services,i:ip,palindromes:palindrose,x:t,palindrome_squares:palindrome_equars,fair_and_square_palindromes:fair_and_square_palindramals,T:t,test_case_id:test_sectionblocknum,A:D,B:Ub,answer:address,",GA,1295,0.9690610726674398
